Employee Identifier,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
47554,Police Officer,85336.95,9951.45,7710.56,102998.96,15760.88,13890.29,2104.61,31755.78,134754.74
3022,Police Officer,85336.96,8970.93,6605.89,100913.78,15826.02,13890.3,1640.79,31357.11,132270.89
38129,Police Officer,96560.96,19407.82,19439.16,135407.94,17023.7,11318.01,2270.48,30612.19,166020.13
43276,Police Officer,118770.08,41620.11,10309.85,170700.04,20886.36,13890.29,2865.15,37641.8,208341.84
26176,Police Officer,85336.92,4383.89,3212.58,92933.39,15564.65,13890.29,3824.42,33279.36,126212.75
13114,Police Officer,114413.1,2262.6,3321.53,119997.23,20111.78,13375.83,1984.14,35471.75,155468.98
5263,Police Officer,44326,0,0,44326,7878.6,7150.93,3440.4,18469.93,62795.93
18116,Police Officer,11175.5,0,0,11175.5,1983.66,1800.59,862.59,4646.84,15822.34
10216,Police Officer,75945.32,3619.5,2993.45,82558.27,13717.24,12346.92,4416.71,30480.87,113039.14
4694,Police Officer,85536.91,6039.88,11254.97,102831.76,15903.53,13890.29,1723.95,31517.77,134349.53
32488,Police Officer,97349.83,0,5435.7,102785.53,17080.72,11362.51,1630.9,30074.13,132859.66
45961,Police Officer,85329.07,16928.14,7472.69,109729.9,15878.9,13890.28,1840.22,31609.4,141339.3
1518,Police Officer,118770.06,1713.84,3552.69,124036.59,20886.36,13890.28,1476.65,36253.29,160289.88
55519,Police Officer,17428,5146.85,474.72,23049.57,3159.84,2057.82,61.69,5279.35,28328.92
40944,Police Officer,118780.94,34413.76,9184.86,162379.56,20886.1,13890.29,2712.31,37488.7,199868.26
4505,Police Officer,85329.08,7646.69,3519.25,96495.02,15689.36,13890.29,2742.84,32322.49,128817.51
970,Police Officer,60295.31,89.8,608.67,60993.78,10803.28,9774.65,4270.29,24848.22,85842
41766,Police Officer,110465.09,20158.44,6334.89,136958.42,20505.74,13890.3,2299.19,36695.23,173653.65
15504,Police Officer,60295.3,380.42,84.81,60760.53,10803.27,9774.65,4082.55,24660.47,85421
39444,Police Officer,118770.09,9862.99,11433.83,140066.91,20886.36,13890.28,2346.09,37122.73,177189.64
17171,Police Officer,85556.94,9052.9,8961.64,103571.48,15907.19,13890.28,1736.42,31533.89,135105.37
24550,Police Officer,0,0,70,70,13.03,25.15,1.18,39.36,109.36
16202,Police Officer,110849.07,47846.34,11781.79,170477.2,20577.21,13890.29,2857.19,37324.69,207801.89
36833,Police Officer,89490.66,14629.69,9311.27,113431.62,16645.38,13890.3,1829.12,32364.8,145796.42
6860,Police Officer,44645.3,0,0,44645.3,7935.28,7202.37,3444.38,18582.03,63227.33
27201,Police Officer,66555.31,1515.43,1591.52,69662.26,11968.86,10803.56,4407.88,27180.3,96842.56
